"__mclCluster","adj_P_Val","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","DiffExpressed","Eccentricity","GNC - Common","HUB","IsSingleNode","logFC","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2","0.0018052497758058912","2.9634146341463414","0.030252829251169493","0.3374485596707819","0.3484848484848485","12","DOWN","6","true",,"false","-1.2130362222222222","PKHD1","11.666666666666666","0","12","0","0.9018292682926828","false","0","PKHD1","2738","0.3153153153153153"
"1","3.073599343809872E-9","4.6875","0.019318608292905562","0.21333333333333335","0.25","9","UP","8","true",,"false","1.2121193333333335","RUNX2","9.666666666666666","0","9","0","0.9100609756097561","false","0","RUNX2","1992","0.28619528619528617"
"1","2.0563357131710649E-4","5.6796875","0.0","0.17606602475928473","0.0","1","UP","9","true",,"false","1.0717006666666666","ADAM12","9.0","0","1","0","0.8858612804878049","false","0","ADAM12","0","0.0"
"3","2.518211515742798E-5","1.9310344827586208","0.0058783271195492134","0.5178571428571428","0.3333333333333333","3","DOWN","3","false",,"false","-2.2031488888888884","RN7SL386P","15.0","0","3","0","0.9595202398800601","false","0","RN7SL386P","28","0.5432098765432098"
"2","0.0017728544378682572","4.158536585365853","0.0","0.2404692082111437","0.0","1","DOWN","7","true",,"false","-1.0574935555555556","FAM3B","14.0","0","1","0","0.8420731707317074","false","0","FAM3B","0","0.0"
"2","0.008202588919087171","3.9634146341463414","0.0","0.2523076923076923","1.0","2","DOWN","7","false",,"false","-0.7270917777777778","PCDP1","11.5","0","2","0","0.8518292682926829","false","0","PCDP1","0","0.71875"
"2","1.4218117410657715E-6","2.9390243902439024","0.003382242304812701","0.34024896265560167","0.4642857142857143","8","DOWN","6","true",,"false","-2.0610724444444446","NR5A2","14.5","0","8","0","0.9030487804878049","false","0","NR5A2","388","0.4027777777777778"
"2","6.258131835392998E-4","3.3658536585365852","0.021398129180632792","0.2971014492753623","0.19047619047619047","7","DOWN","7","true",,"false","-1.526788666666667","SLC4A4","11.571428571428571","0","7","0","0.8817073170731706","false","0","SLC4A4","1372","0.33613445378151263"
"2","4.4740227045113814E-8","2.7195121951219514","0.009844221963519117","0.3677130044843049","0.4","6","DOWN","6","true",,"false","-1.0101842222222224","KLKB1","11.666666666666666","0","6","0","0.9140243902439025","false","0","KLKB1","1234","0.3709677419354839"
"2","2.2566947720613334E-4","3.7195121951219514","0.005161316792391497","0.26885245901639343","0.5","4","DOWN","7","true",,"false","-1.6627797777777777","GATM","10.75","0","4","0","0.8640243902439024","false","0","GATM","382","0.4772727272727273"
"2","0.0015475477616726592","4.2926829268292686","1.5055706112616682E-4","0.23295454545454544","0.0","2","DOWN","8","true",,"false","-0.9437624444444446","ACSM3","5.5","0","2","0","0.8353658536585366","false","0","ACSM3","2","0.5625"
"2","6.763456749440899E-5","3.707317073170732","0.0010947196037079756","0.26973684210526316","0.16666666666666666","4","DOWN","6","true",,"false","-0.6458953333333333","SLC4A10","6.75","0","4","0","0.8646341463414634","false","0","SLC4A10","58","0.44642857142857145"
"2","3.754786708244025E-4","3.1219512195121952","0.03882284805638888","0.3203125","0.4166666666666667","9","DOWN","6","true",,"false","-0.8803577777777778","SCTR","11.11111111111111","0","9","0","0.8939024390243903","false","0","SCTR","1742","0.34375"
"4","4.829057872835002E-11","2.5","0.09178743961352658","0.4","0.4","5","UP","5","true",,"false","2.684101111111111","CTSE","4.8","0","5","0","0.8636363636363636","false","0","CTSE","82","0.38333333333333336"
"2","3.3805681634888074E-7","2.6219512195121952","0.09499290948146627","0.38139534883720927","0.34615384615384615","13","DOWN","6","true","1","false","-1.142453777777778","GPR98","10.692307692307692","0","13","0","0.9189024390243903","false","0","GPR98","5982","0.27218934911242604"
"2","0.015771862973320123","4.109756097560975","0.0","0.24332344213649854","0.0","1","DOWN","7","true",,"false","-0.6927564444444443","C14orf105","9.0","0","1","0","0.8445121951219512","false","0","C14orf105","0","0.0"
"3","4.577310223079181E-5","1.8620689655172413","0.012010125889436231","0.5370370370370371","0.1","5","DOWN","3","false",,"false","-2.625875333333333","CUZD1","15.0","0","5","0","0.9625187406296851","false","0","CUZD1","80","0.576"
"2","5.776521062351514E-7","2.8902439024390243","0.0024626643546652293","0.3459915611814346","0.6","5","DOWN","6","true",,"false","-1.1041791111111112","ESRRG","11.8","0","5","0","0.9054878048780488","false","0","ESRRG","190","0.45384615384615384"
"4","8.18289974037278E-7","3.4583333333333335","0.0","0.2891566265060241","0.0","1","UP","6","true",,"false","1.4042131111111111","CYP2C18","5.0","0","1","0","0.7765151515151515","false","0","CYP2C18","0","0.0"
"2","1.620948995132958E-6","4.329268292682927","0.05026646792517471","0.23098591549295774","0.0","5","DOWN","7","true",,"false","-1.322056888888889","SST","2.0","0","5","0","0.8335365853658537","false","0","SST","1556","0.3333333333333333"
"2","1.3174116315235402E-5","5.317073170731708","0.0","0.18807339449541283","0.0","1","DOWN","8","true",,"false","-1.0235299999999998","CHGA","5.0","0","1","0","0.7841463414634147","false","0","CHGA","0","0.0"
"1","3.077089073670734E-7","4.609375","9.696173632514716E-4","0.21694915254237288","0.5808823529411765","17","UP","9","true",,"false","1.024845777777778","KIF23","27.529411764705884","0","17","0","0.9119664634146342","false","0","KIF23","552","0.5294117647058824"
"2","1.0747822903281128E-6","2.841463414634146","0.07106504223960898","0.351931330472103","0.30994152046783624","19","DOWN","6","true",,"false","-1.535544888888889","C6","10.368421052631579","0","19","0","0.9079268292682927","false","0","C6","3976","0.27008310249307477"
"2","1.3991426280695875E-6","2.475609756097561","0.1282701226998093","0.4039408866995074","0.3014705882352941","17","DOWN","6","true","1","false","-1.3781815555555554","CTNND2","11.823529411764707","0","17","0","0.9262195121951219","false","0","CTNND2","7528","0.2627450980392157"
"3","7.059249349582917E-6","1.8620689655172413","0.005697736419096863","0.5370370370370371","0.16666666666666666","4","DOWN","2","true",,"false","-2.2352664444444446","CTRL","17.0","0","4","0","0.9625187406296851","false","0","CTRL","60","0.6111111111111112"
"2","3.916968413906671E-7","2.5609756097560976","0.07476329183138164","0.3904761904761905","0.4065934065934066","14","DOWN","5","true","1","false","-1.028323111111111","CHST9","12.0","0","14","0","0.921951219512195","false","0","CHST9","4596","0.2926829268292683"
"1","6.29075677124156E-7","3.9296875","0.2341286296145763","0.2544731610337972","0.47883597883597884","28","UP","8","true","1","false","0.7895893333333334","UBE2C","22.321428571428573","0","28","0","0.9285442073170732","false","0","UBE2C","52522","0.3916040100250627"
"1","5.090119246496787E-6","4.046875","0.1229509585084083","0.2471042471042471","0.375","16","UP","8","true",,"false","0.8968877777777777","NCAPG","23.5625","0","16","0","0.9256859756097561","false","0","NCAPG","32558","0.45072115384615385"
"1","7.07586144734668E-5","5.8125","0.0","0.17204301075268819","0.0","1","UP","8","true",,"false","0.8183044444444442","HILPDA","5.0","0","1","0","0.8826219512195121","false","0","HILPDA","0","0.0"
"3","7.315282600616884E-6","1.896551724137931","0.003231978778305159","0.5272727272727272","0.0","4","DOWN","3","true",,"false","-2.798222888888889","CTRC","20.0","0","4","0","0.9610194902548725","false","0","CTRC","74","0.7916666666666666"
"1","6.360521426088976E-9","4.03125","0.13107608759454686","0.24806201550387597","0.49019607843137253","18","UP","8","true",,"false","1.6620173333333332","ANLN","24.833333333333332","0","18","0","0.9260670731707317","false","0","ANLN","40060","0.45987654320987653"
"1","4.2983712457185206E-5","3.5703125","0.4979084645669291","0.2800875273522976","0.3333333333333333","3","DOWN","6","true","1","false","-0.7926840000000002","ADAMTSL3","4.666666666666667","0","3","0","0.9373094512195121","false","0","ADAMTSL3","123520","0.3939393939393939"
"1","1.9299539260097285E-7","3.6875","0.49609549306931716","0.2711864406779661","0.3333333333333333","4","DOWN","7","true","1","false","-0.9227760000000002","ACACB","16.25","0","4","0","0.9344512195121951","false","0","ACACB","123782","0.38095238095238093"
"1","9.321793412653398E-7","5.2421875","1.7003021729128162E-4","0.19076005961251863","0.7555555555555555","10","UP","10","true",,"false","0.9798862222222221","CENPK","26.1","0","10","0","0.8965320121951219","false","0","CENPK","28","0.522"
"4","2.794948994132921E-7","3.8333333333333335","0.0","0.2608695652173913","0.0","1","UP","7","false",,"false","0.9017439999999998","SGPP2","4.0","0","1","0","0.7424242424242423","false","0","SGPP2","0","0.0"
"2","8.686124289615678E-5","4.0","0.01713958186643966","0.25","0.0","3","DOWN","7","true",,"false","-0.7453548888888889","HEPACAM2","5.333333333333333","0","3","0","0.85","false","0","HEPACAM2","396","0.3939393939393939"
"3","2.638902543898818E-5","1.8275862068965518","0.008221651585554742","0.5471698113207547","0.0","5","DOWN","2","true",,"false","-2.1202508888888887","CTRB2","17.8","0","5","0","0.9640179910044978","false","0","CTRB2","156","0.7"
"1","1.1990628415189652E-4","4.96875","0.0","0.20125786163522014","0.0","1","UP","8","true",,"false","0.9747153333333338","SPARC","16.0","0","1","0","0.9032012195121951","false","0","SPARC","0","0.0"
"1","9.44032091186271E-8","4.703125","1.219378091718369E-4","0.21262458471760798","0.6785714285714286","8","UP","9","true",,"false","1.1532835555555556","MELK","29.0","0","8","0","0.9096798780487805","false","0","MELK","30","0.5918367346938775"
"4","2.8333418900091685E-9","2.875","0.09057971014492754","0.34782608695652173","0.3333333333333333","4","UP","6","true",,"false","1.1258644444444443","RHBDL2","3.5","0","4","0","0.8295454545454546","false","0","RHBDL2","98","0.4642857142857143"
"1","1.323047596794066E-5","4.8046875","3.131444506936633E-4","0.208130081300813","0.3333333333333333","3","UP","8","true",,"false","0.7008333333333334","PTK7","11.666666666666666","0","3","0","0.907202743902439","false","0","PTK7","34","0.4533333333333333"
"4","3.337228700692875E-7","2.9583333333333335","0.08333333333333333","0.3380281690140845","0.3333333333333333","3","UP","6","true",,"false","0.6842595555555555","KLF5","3.3333333333333335","0","3","0","0.8219696969696969","false","0","KLF5","50","0.5"
"3","1.7307173880183314E-4","1.896551724137931","0.003231978778305159","0.5272727272727272","0.0","4","DOWN","3","true",,"false","-1.5307853333333337","PRSS3P2","20.0","0","4","0","0.9610194902548725","false","0","PRSS3P2","74","0.7916666666666666"
"4","5.8697398512819955E-9","2.1666666666666665","0.31400966183574874","0.46153846153846156","0.4","5","UP","5","true","1","false","0.9185544444444446","KCNK1","5.2","0","5","0","0.893939393939394","false","0","KCNK1","216","0.28888888888888886"
"1","2.5321098311645876E-5","5.453125","0.0","0.1833810888252149","0.0","1","DOWN","10","true",,"false","-0.58822","CGNL1","32.0","0","1","0","0.8913871951219512","false","0","CGNL1","0","0.0"
"6","2.4358244097407723E-9","2.4285714285714284","0.0021978021978021982","0.411764705882353","0.0","2","UP","4","true",,"false","1.130268","OAS1","5.5","0","2","0","0.8571428571428571","false","0","OAS1","2","0.9"
"4","5.7867973668888005E-11","2.875","0.09057971014492754","0.34782608695652173","0.3333333333333333","4","UP","6","false",,"false","1.128362","ABHD17C","3.25","0","4","0","0.8295454545454546","false","0","ABHD17C","58","0.42857142857142855"
"1","1.2689039782294253E-4","4.609375","0.005014662878845766","0.21694915254237288","0.3333333333333333","15","UP","9","true",,"false","0.7148673333333333","TYMS","19.333333333333332","0","15","0","0.9119664634146342","false","0","TYMS","1484","0.3635220125786163"
"3","8.462372247929509E-6","1.8275862068965518","0.008221651585554742","0.5471698113207547","0.0","5","DOWN","2","true",,"false","-3.0266571111111116","PNLIPRP1","17.8","0","5","0","0.9640179910044978","false","0","PNLIPRP1","156","0.7"
"2","0.002176209788868169","3.9390243902439024","1.9572417946401687E-4","0.25386996904024767","0.0","2","DOWN","7","true",,"false","-1.5423422222222225","TTR","9.0","0","2","0","0.853048780487805","false","0","TTR","8","0.6666666666666666"
"1","5.997486511371043E-7","5.6796875","0.0","0.17606602475928473","0.0","1","UP","9","false",,"false","0.6037473333333333","SLC24A3","7.0","0","1","0","0.8858612804878049","false","0","SLC24A3","0","0.0"
"3","1.2533864211943915E-5","1.896551724137931","0.003231978778305159","0.5272727272727272","0.0","4","DOWN","3","true",,"false","-2.310065555555556","PLA2G1B","20.0","0","4","0","0.9610194902548725","false","0","PLA2G1B","74","0.7916666666666666"
"2","3.571255535163739E-5","3.5853658536585367","0.016849669234462076","0.2789115646258503","0.0","4","DOWN","6","true",,"false","-0.5864257777777778","STXBP5L","7.75","0","4","0","0.8707317073170732","false","0","STXBP5L","470","0.45"
"1","3.008298676029131E-6","5.1875","3.708560552572409E-4","0.1927710843373494","0.7032967032967034","14","UP","10","true",,"false","0.7367451111111112","STIL","26.928571428571427","0","14","0","0.8978658536585366","false","0","STIL","106","0.5080862533692723"
"1","5.606233505669593E-9","4.5859375","0.01827150619869972","0.21805792163543442","0.3787878787878788","12","UP","8","true",,"false","1.0137033333333334","NTM","11.916666666666666","0","12","0","0.9125381097560976","false","0","NTM","6110","0.2751937984496124"
"2","2.3759920010807073E-6","2.548780487804878","0.27242812623421836","0.3923444976076555","0.11578947368421053","20","DOWN","5","true","1","false","-1.7441982222222223","SCGN","5.75","0","20","0","0.9225609756097561","false","0","SCGN","10216","0.14605263157894738"
"1","7.485124423896482E-7","4.5234375","0.00424239259923292","0.22107081174438686","0.5633333333333334","25","UP","9","true",,"false","0.8912506666666664","SHCBP1","25.04","0","25","0","0.9140625","false","0","SHCBP1","2710","0.4552727272727273"
"2","6.176236970750107E-5","3.841463414634146","0.0","0.26031746031746034","0.0","1","DOWN","7","true",,"false","-1.0052446666666666","SLC1A2","18.0","0","1","0","0.8579268292682928","false","0","SLC1A2","0","0.0"
"1","8.871505721769908E-7","4.53125","0.03297420006822659","0.2206896551724138","0.3956043956043956","14","UP","8","true",,"false","1.1398482222222222","MXRA5","12.5","0","14","0","0.9138719512195121","false","0","MXRA5","5136","0.2686335403726708"
"2","4.7790707593180116E-5","3.573170731707317","0.010170726772078243","0.27986348122866894","0.0","8","DOWN","6","true",,"false","-0.9659517777777776","SCG5","5.25","0","8","0","0.8713414634146341","false","0","SCG5","296","0.2361111111111111"
"1","4.563506507740684E-9","4.59375","0.015459160346658894","0.21768707482993196","0.5","13","UP","8","true",,"false","0.8617584444444446","HSD17B6","12.76923076923077","0","13","0","0.9123475609756098","false","0","HSD17B6","2444","0.30956848030018763"
"1","3.671241944432E-8","4.6328125","0.0078060602662777595","0.21585160202360876","0.475","16","UP","9","true",,"false","1.3075462222222223","CENPF","25.0625","0","16","0","0.9113948170731707","false","0","CENPF","1542","0.5102040816326531"
