"EdgeBetweenness","GNC","interaction","name","selected","shared interaction","shared name","Weight"
"29.089826839826824","0.25","interacts with","COL5A2 (interacts with) ITGA11","false","interacts with","COL5A2 (interacts with) ITGA11","0.8839"
"139.9182290864923","0.3333333432674408","interacts with","NCAPG (interacts with) NEK2","false","interacts with","NCAPG (interacts with) NEK2","0.8472"
"117.08654474180804","0.3333333432674408","interacts with","COL5A2 (interacts with) KIF26B","false","interacts with","COL5A2 (interacts with) KIF26B","0.8931"
"81.98167092314772","0.5","interacts with","NCAPG (interacts with) PRC1","false","interacts with","NCAPG (interacts with) PRC1","0.858"
"22.01410256410257",,"interacts with","ANGPTL1 (interacts with) LIFR","false","interacts with","ANGPTL1 (interacts with) LIFR","0.836"
"9.207814407814407",,"interacts with","COL5A2 (interacts with) MXRA5P1","false","interacts with","COL5A2 (interacts with) MXRA5P1","0.8112"
"91.28634287832476","0.5","interacts with","NCAPG (interacts with) TRIP13","false","interacts with","NCAPG (interacts with) TRIP13","0.8546"
"25.099694457589187","0.3333333432674408","interacts with","COL5A2 (interacts with) NTM","false","interacts with","COL5A2 (interacts with) NTM","0.8239"
"205.85174983688805","0.3333333432674408","interacts with","NCAPG (interacts with) TYMS","false","interacts with","NCAPG (interacts with) TYMS","0.8362"
"20.539750892382468","0.3333333432674408","interacts with","COL5A2 (interacts with) NUAK1","false","interacts with","COL5A2 (interacts with) NUAK1","0.8386"
"14.989518908129941","0.5","interacts with","NCAPG (interacts with) UBE2C","false","interacts with","NCAPG (interacts with) UBE2C","0.8287"
"182.82267304324003","0.3333333432674408","interacts with","ANLN (interacts with) ARNTL2","false","interacts with","ANLN (interacts with) ARNTL2","0.8486"
"150.56096906544838","0.5","interacts with","NCAPG (interacts with) UBE2T","false","interacts with","NCAPG (interacts with) UBE2T","0.822"
"198.61742424242425","0.3333333432674408","interacts with","COL6A3 (interacts with) KIF26B","false","interacts with","COL6A3 (interacts with) KIF26B","0.8449"
"194.95504917932323","0.5","interacts with","ANLN (interacts with) BUB1B","false","interacts with","ANLN (interacts with) BUB1B","0.8199"
"35.524772187355985","0.3333333432674408","interacts with","NCAPG2 (interacts with) PRC1","false","interacts with","NCAPG2 (interacts with) PRC1","0.819"
"43.81893939393939","0.25","interacts with","COL6A3 (interacts with) MFAP2","false","interacts with","COL6A3 (interacts with) MFAP2","0.8292"
"17.432350040131112","0.3333333432674408","interacts with","NCAPG2 (interacts with) SHCBP1","false","interacts with","NCAPG2 (interacts with) SHCBP1","0.8187"
"118.42999695969498","0.5","interacts with","ANLN (interacts with) CCNA2","false","interacts with","ANLN (interacts with) CCNA2","0.8988"
"17.28030303030303","0.25","interacts with","COL6A3 (interacts with) NUAK1","false","interacts with","COL6A3 (interacts with) NUAK1","0.8174"
"47.60707886534338","0.3333333432674408","interacts with","NDC80 (interacts with) TYMS","false","interacts with","NDC80 (interacts with) TYMS","0.8677"
"13.412406015037597","0.3333333432674408","interacts with","COL8A1 (interacts with) EDIL3","false","interacts with","COL8A1 (interacts with) EDIL3","0.8201"
